1,0.01,0.049,0,0,0.008,0,0.036,0.073,0.029,0,0.021,0.041,0.008,0,0.009,0.011,0.035,0.021,0,0.009
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.228,1,0,0,0.026,0,0.29,0,0.296,0,0,0.24,0.13,0,0.313,0.136,0,0.119,0,0.115
0.095,0.026,0.175,1,0,0.008,0,0.183,0.127,0.102,0,0.045,0.134,0.059,0,0.064,0.103,0.087,0.073,0.154,0.029
0,0,0,0.501,1,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.031,0.05,0.072,0.135,0.088,0.015,1,0.13,0.195,0.116,0,0.05,0.069,0.102,0,0.048,0.036,0.071,0.016,0.077,0.038
0,0.002,0,0,0,0,0,1,0,0.044,0,0,0.021,0.006,0,0.013,0.001,0,0,0,0.001
0,0,0.005,0,0,0,0,0,1,0,0,0,0,0,0,0.001,0,0,0,0,0
0,0.011,0,0,0,0.011,0,0,0,1,0,0,0.001,0.003,0,0.02,0.013,0,0.002,0,0.001
0.022,0.011,0.093,0.026,0.036,0.006,0.016,0.036,0.116,0.024,1,0.015,0.047,0.025,0,0.05,0.03,0.031,0.025,0.026,0.048
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.006,0,0,0,0.199,0,0,1,0.002,0,0.004,0.002,0,0.001,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0.001,0.001,0,0,0,0,0,0.001,0.001,0.001,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.286,1,0,0.224,0,0.015
0,0.055,0.211,0,0,0.007,0,0.208,0.379,0.243,0,0,0.099,0.136,0,0.193,0.167,1,0.13,0,0.013
0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.041,0,0,1,0,0
0.205,0.037,0.149,0,0,0.008,0,0.12,0.172,0.171,0,0.18,0.103,0.123,0,0.178,0.13,0.205,0.211,1,0.068
1,0,0,0,0,0,0,0,0,0,0,0.564,0.136,0.002,0,0.016,0.057,0,0,0,0.913
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.362,1,0,0,0.017,0,0.745,0,0.224,0,0,0.869,0.67,0,0.205,0.872,0,0.115,0,0.092
