TP, FN, FP, TN, P    , R    , F1   , ER   , RI
50, 52, 39, 2911, 0.562, 0.490, 0.524, 0.941, 15.810
776, 193, 192, 4265, 0.802, 0.801, 0.801, 0.777, 3.489
85, 43, 22, 3940, 0.794, 0.664, 0.723, 0.961, 24.383
25, 49, 21, 2490, 0.543, 0.338, 0.417, 0.947, 17.985
236, 141, 33, 2082, 0.877, 0.626, 0.731, 0.828, 4.799
61, 134, 36, 4413, 0.629, 0.313, 0.418, 0.933, 13.977
64, 37, 28, 2365, 0.696, 0.634, 0.663, 0.942, 16.178
194, 88, 48, 3818, 0.802, 0.688, 0.740, 0.915, 10.792
283, 100, 58, 3211, 0.830, 0.739, 0.782, 0.874, 6.913
110, 91, 52, 4220, 0.679, 0.547, 0.606, 0.934, 14.111
54, 31, 19, 1545, 0.740, 0.635, 0.684, 0.930, 13.351
202, 119, 131, 2872, 0.607, 0.629, 0.618, 0.841, 5.281
178, 71, 93, 4093, 0.657, 0.715, 0.685, 0.915, 10.699
693, 353, 536, 27758, 0.564, 0.663, 0.609, 0.937, 14.816
82, 54, 32, 1051, 0.719, 0.603, 0.656, 0.845, 5.447
403, 215, 176, 14239, 0.696, 0.652, 0.673, 0.941, 15.931
59, 39, 100, 7514, 0.371, 0.602, 0.459, 0.966, 28.201
53, 39, 56, 3491, 0.486, 0.576, 0.527, 0.948, 18.233
196, 91, 165, 11766, 0.543, 0.683, 0.605, 0.957, 22.114
31, 32, 28, 2600, 0.525, 0.492, 0.508, 0.955, 21.443
