Training project, P, R, F1
Ant, 0.2173228346456693, 0.4808362369337979, 0.299349240780911
ArgoUML, 0.10805084745762712, 0.710801393728223, 0.18758620689655173
Columba, 0.1926070038910506, 0.6898954703832753, 0.3011406844106464
EMF, 0.18438914027149322, 0.5679442508710801, 0.2783945345858241
Hibernate, 0.16666666666666666, 0.6829268292682927, 0.2679425837320574
JEdit, 0.1584601611459266, 0.6167247386759582, 0.25213675213675213
JFreeChart, 0.19900497512437812, 0.5574912891986062, 0.2933088909257562
JMeter, 0.25501432664756446, 0.6202090592334495, 0.3614213197969543
JRuby, 0.23057953144266338, 0.6515679442508711, 0.34061930783242256
SQuirrel, 0.18587360594795538, 0.5226480836236934, 0.2742230347349177
Dubbo, 0.14556962025316456, 0.40069686411149824, 0.2135561745589601
Gradle, 0.15584415584415584, 0.20905923344947736, 0.17857142857142858
Groovy, 0.2351851851851852, 0.4425087108013937, 0.30713422007255137
Hive, 0.2534854245880862, 0.6968641114982579, 0.3717472118959108
Maven, 0.11035818005808325, 0.397212543554007, 0.17272727272727273
Poi, 0.2010928961748634, 0.6411149825783972, 0.30615640599001664
SpringFramework, 0.4339080459770115, 0.5261324041811847, 0.47559055118110233
Storm, 0.23929471032745592, 0.662020905923345, 0.35152636447733576
Tomcat, 0.4876543209876543, 0.8257839721254355, 0.6131953428201811
Zookeeper, 0.3968871595330739, 0.710801393728223, 0.5093632958801497
